,RecoDataeta_predicted
0,1.6954099
1,-1.7244939
2,0.24817847
3,-0.56810087
4,-0.15182237
5,2.449987
6,1.4243959
7,2.5427842
8,2.093991
9,0.81919616
10,1.1377971
11,2.7429519
12,-4.481465
13,2.5774527
14,-1.2603383
15,1.2896458
16,0.7727071
17,-1.9991608
18,-4.0053034
19,3.2187397
20,3.4229145
21,0.44715494
22,-1.3631593
23,2.1605906
24,-2.3595786
25,-2.2441888
26,-2.2323797
27,3.2382991
28,-3.9365923
29,-3.162817
30,-1.3031427
31,-2.418096
32,2.3560548
33,1.7687732
34,-0.23018871
35,2.088495
36,0.2429602
37,2.1058812
38,-0.7276374
39,1.1861215
40,2.236056
41,-0.35732144
42,0.99963367
43,2.597344
44,-1.7500886
45,0.36633152
46,-2.7430696
47,1.1743733
48,-2.0287623
49,-0.8421707
50,-1.8877949
51,-0.3171594
52,0.5294848
53,0.7546662
54,-1.9737126
55,2.8087828
56,3.0867019
57,-4.3555727
58,2.5806675
59,2.1041772
60,-0.46389577
61,-3.0601041
62,-3.7392795
63,-3.4047902
64,-2.4526443
65,-3.8897097
66,-0.62999403
67,2.427819
68,0.13958652
69,3.6650603
70,4.1025405
71,-0.7418749
72,3.3878717
73,-0.2035069
74,-2.334939
75,0.9136527
76,1.4475733
77,-2.1001267
78,-3.6628191
79,1.2192311
80,-3.47014
81,1.0009645
82,1.1750131
83,-1.2177185
84,0.61396426
85,-3.5114405
86,-1.407427
87,-0.9536171
88,2.8737555
89,-4.1127625
90,-0.8811382
91,-2.0686345
92,1.1935233
93,0.7612023
94,-4.275195
95,-3.5134988
96,-1.9673743
97,1.7176024
98,-1.1891909
99,-1.5768691
100,3.7050784
101,2.2120981
102,1.1159848
103,-1.5692371
104,-1.2363448
105,-4.0350385
106,2.6786542
107,0.7031643
108,2.9205678
109,-2.3621569
110,-3.4056878
111,-0.9219919
112,-1.8766205
113,0.119326904
114,-0.9816531
115,-0.82839656
116,1.1813111
117,1.5854887
118,1.2614511
119,0.664267
120,-1.8593723
121,-0.24975605
122,-2.1553771
123,-2.4462442
124,-1.1611363
125,-1.6589742
126,-2.5034451
127,2.1660593
128,-0.39214885
129,3.7406654
130,-2.32948
131,1.8265368
132,-1.8262426
133,0.63806856
134,-3.5446596
135,-0.0878838
136,-3.7386246
137,-0.83098024
138,-2.8178768
139,-0.20971636
140,-3.355763
141,3.4767482
142,-3.8689682
143,-1.2278658
144,-2.0106394
145,-1.0386122
146,3.0317347
147,0.16810891
148,3.5887265
149,-2.9986405
150,-2.532345
151,2.3912601
152,1.867807
153,0.59951395
154,3.9053745
155,-1.3233136
156,1.1301459
157,-2.1159823
158,-2.9805524
159,0.32107046
160,0.7618906
161,-2.1408412
162,4.889299
163,-1.2434899
164,-0.07422957
165,1.6117969
166,2.195874
167,0.4561856
168,-0.89754874
169,0.07497677
170,0.49882758
171,0.20900424
172,2.4649332
173,2.1906714
174,-0.6628454
175,2.141365
176,-1.0009079
177,2.8241742
178,0.7045332
179,0.9549225
180,3.1899738
181,3.1140096
182,-1.7452862
183,1.4202576
184,-2.599574
185,-1.8056897
186,-1.1159663
187,2.4696476
188,0.346378
189,0.690485
