,RecoDataeta_predicted
0,113.58513
1,85123.99
2,96876.33
3,201979.64
4,113.58513
5,136467.73
6,130337.83
7,87215.86
8,257709.17
9,116838.62
10,102047.06
11,87892.02
12,123886.45
13,113.58513
14,127171.984
15,113.58513
16,181856.67
17,124637.29
18,89190.74
19,124192.93
20,97423.17
21,103693.89
22,141866.17
23,140691.23
24,145274.84
25,92957.99
26,113.58513
27,169886.62
28,89432.95
29,84742.625
30,113.58513
31,104278.375
32,111218.29
33,115502.055
34,87273.195
35,86987.57
36,113.58513
37,210609.06
38,210809.55
39,82283.28
40,84895.4
41,106507.59
42,184077.9
43,90731.98
44,155224.08
45,113.58513
46,124683.77
47,171219.08
48,82142.69
49,150403.38
50,140026.36
51,84612.625
52,74270.375
53,206221.31
54,116473.11
55,221712.14
56,137340.08
57,117304.24
58,202782.16
59,89116.2
60,93108.57
61,82257.89
62,83017.2
63,93476.47
64,149082.45
65,103172.305
66,105449.82
67,108175.09
68,113.58513
69,96208.92
70,146231.28
71,132711.12
72,93782.99
73,174959.42
74,85044.914
75,88156.58
76,127349.18
77,189571.73
78,290630.0
79,83252.4
80,113.58513
81,123382.54
82,125056.24
83,111840.38
84,113.58513
85,113.58513
86,87213.695
87,89398.99
88,80304.23
89,94818.24
90,81872.46
91,123859.96
92,89907.3
93,113.58513
94,113.58513
95,165849.5
96,113.58513
97,130194.93
98,94556.95
99,96844.48
100,156924.02
101,105310.51
102,314000.94
103,184729.61
104,113.58513
105,95087.516
106,113.58513
107,86711.94
108,162982.39
109,107260.99
110,118620.42
111,113.58513
112,178249.86
113,113.58513
114,113.58513
115,93679.26
116,177176.52
117,113.58513
118,95893.53
119,102256.37
120,123732.414
121,76580.68
122,117381.94
123,113.58513
124,86820.63
125,182447.98
126,121470.51
127,100279.01
128,81519.375
129,97250.12
130,113.58513
131,183378.88
132,82178.49
133,77900.89
134,77258.195
135,83950.43
136,199900.47
137,99394.805
138,173239.44
139,107630.18
140,113.58513
141,96875.83
142,137697.97
143,182819.2
144,186373.47
145,128403.89
146,87794.984
147,113.58513
148,156798.44
149,73361.98
150,143583.3
