,RecoDatam_predicted
0,8.39845
1,7.7132583
2,8.67924
3,6.020657
4,7.6652136
5,7.8378587
6,9.927346
7,8.11978
8,8.501046
9,8.440803
10,5.176231
11,4.623454
12,4.2239733
13,8.763757
14,8.658405
15,10.33457
16,6.92921
17,6.844641
18,7.458095
19,8.659213
20,7.532364
21,4.0550795
22,10.321318
23,5.747297
24,8.170762
25,8.981179
26,11.737207
27,7.059003
28,7.7979994
29,7.5352964
30,6.6399565
31,10.976207
32,5.687067
33,8.812065
34,12.614531
35,6.211885
36,8.764116
37,7.4122562
38,8.531253
39,8.296382
40,3.490993
41,14.394346
42,8.338204
43,6.086871
44,8.058747
45,3.596433
46,6.748002
47,5.1714554
48,11.00531
49,6.689537
50,8.984862
51,9.102083
52,10.184351
53,3.2642097
54,9.058496
55,5.1886144
56,6.2159004
57,13.143286
58,10.989863
59,6.9789553
60,8.6938095
61,7.469283
62,9.617634
63,7.5029445
64,7.720257
65,12.224877
66,8.073151
67,8.079321
68,7.4897146
69,6.8053503
70,6.628736
71,8.785747
72,7.198509
73,10.164507
74,6.833988
75,6.9751687
76,5.455515
77,7.5247197
78,6.0829906
79,7.036925
80,5.788114
81,11.284731
82,7.1293955
83,9.010115
84,4.8378067
85,5.3683233
86,9.152364
87,7.889756
88,8.150283
89,7.0389333
90,4.270773
91,4.301664
92,4.0651274
93,7.043646
94,10.173002
95,5.8730073
96,6.479604
97,7.9149036
98,5.0586987
99,7.7147956
100,9.373607
101,7.589515
102,9.526522
103,8.431637
104,4.7913723
105,4.9604974
106,4.084462
107,3.8973641
108,5.9708505
109,4.8963456
110,5.271606
111,10.8507395
112,5.6102257
113,7.4962673
114,6.440856
115,7.903994
116,8.075589
117,9.808649
118,6.312315
119,9.002304
120,4.317024
121,7.1554193
122,7.916349
123,8.661921
124,8.618658
125,6.343813
126,7.191936
127,7.7173686
128,11.961971
129,9.182068
130,5.3070145
131,7.200854
132,17.39339
133,7.060332
134,4.0278788
135,11.202217
136,3.7297094
137,6.0782247
138,6.5679193
139,15.730431
140,8.226741
141,9.206414
142,6.442035
143,8.506248
144,10.21311
145,7.9872813
146,5.980864
147,12.237551
148,7.7896366
149,7.783533
150,12.258488
151,5.434296
152,9.974434
153,7.7740216
154,7.745709
155,9.536209
156,7.8890023
157,5.259574
158,7.274715
159,6.409903
160,15.14995
161,7.312303
162,4.900158
163,13.669949
164,10.260954
165,6.984641
166,12.030521
167,7.007945
168,8.316781
169,7.908969
170,3.6749465
171,6.9191456
172,6.746889
173,8.529278
174,8.604009
175,7.3294435
176,8.630142
177,7.8631325
178,7.182001
179,9.023626
180,10.997786
181,12.834542
182,5.1447573
183,14.233881
184,5.407967
185,5.106494
186,4.5587687
187,6.746742
188,6.3693285
189,5.94888
190,4.3141413
191,6.450596
192,7.862717
193,9.016956
194,9.424106
195,6.652622
196,5.438421
197,11.509302
198,7.8603086
199,5.771193
200,7.6653605
201,5.856788
202,8.450649
203,6.589821
204,6.225733
205,3.504568
