,RecoDatam_predicted
0,-188.3557
1,38848.695
2,-211079.36
3,24.32098
4,86405.23
5,85119.49
6,74058.1
7,110250.47
8,-85.708435
9,-56296.406
10,-201886.61
11,27937.87
12,61.366528
13,-106984.76
14,-114316.945
15,-133805.61
16,41264.01
17,-95087.03
18,-135.12311
19,-125895.41
20,-64136.223
21,-161292.89
22,-171748.67
23,-143.3851
24,48215.023
25,40234.316
26,-4.693196
27,-111398.33
28,42637.152
29,86880.36
30,-48894.316
31,-56882.305
32,-89865.58
33,-51030.074
34,70038.164
35,-16708.562
36,-130003.39
37,100718.945
38,-222202.86
39,-54.986164
40,-113119.15
41,-1589.894
42,42091.34
43,47564.24
44,-67204.555
45,-165656.1
46,-187898.45
47,-86.05215
48,-46903.72
49,107825.08
50,-205.06749
51,65377.3
52,-76221.38
53,-54637.66
54,-193024.7
55,-109698.52
56,-158208.86
57,-95249.77
58,-181879.27
59,-4534.9473
60,96741.984
61,-9218.782
62,-58312.93
63,54497.684
64,-85218.31
65,77491.78
66,-26.37262
67,-64106.5
68,-206235.95
69,-209882.14
70,68744.445
71,73651.805
72,-190.31482
73,86372.69
74,-217960.02
75,-87099.23
76,-125790.3
77,49.16373
78,-94139.45
79,94390.9
80,-161076.73
81,-205069.75
82,-131367.16
83,-117.87474
84,30431.164
85,-9005.662
86,-218033.1
87,-90369.52
88,-201695.97
89,-156956.62
90,93089.15
91,-6665.1987
92,-29.755363
93,-51107.883
94,-137621.17
95,-162830.7
96,-95306.13
97,74563.82
98,93267.23
99,-211448.72
100,-59617.01
101,103569.25
102,-130341.42
103,-216186.8
104,14185.661
105,52876.156
106,36110.996
107,50353.504
108,-51377.797
109,-71660.98
110,-36761.754
111,-189911.2
112,-95756.664
113,-139.89204
114,81263.484
115,-65.09174
116,-19492.334
117,92463.016
118,63355.742
119,-215459.61
120,-140788.2
121,57553.71
122,-187407.56
123,-12246.081
124,-172.58127
125,-21425.223
126,-171882.98
127,-36561.79
128,-112.7437
129,-118002.76
130,-204652.86
131,79268.38
132,-186306.25
133,-54.29952
134,-202668.9
135,-133016.92
136,60122.99
137,20359.496
138,-88348.305
139,-74.98787
140,-141090.14
141,-163806.92
142,57342.598
143,-90.03039
144,-199494.8
145,-54.97312
146,-103.54863
147,-101652.76
148,-148403.44
149,69178.445
150,71314.54
151,-208373.16
152,-167622.73
153,-166442.19
154,-178974.78
155,88372.31
156,-191810.16
157,-26950.166
158,-215668.19
159,66434.3
160,-79978.92
161,-204460.19
162,-117556.305
163,-11853.141
164,-53473.996
165,-115.67855
166,-85534.375
167,-149733.72
168,-27.70617
169,-67887.57
170,24980.014
171,65.70659
172,-47100.387
173,32603.848
174,-132025.97
175,-211895.6
176,-93.39365
177,44697.39
178,93380.11
179,-72581.24
180,88312.56
181,-153488.1
182,52935.3
183,-208508.5
184,262.4075
185,-222050.66
186,-99644.51
187,26733.92
188,-166241.53
189,-106408.9
190,-75.829185
191,78434.56
192,-112669.47
193,-131384.83
194,-222696.3
195,-93615.39
196,-221861.22
197,-65.953766
198,94063.17
199,-211406.5
200,44284.176
201,-65417.133
202,94630.234
203,-218994.64
204,33.42812
205,69272.73
206,-147.08731
207,-13492.471
208,-51514.707
209,-90248.64
210,-72837.3
211,56495.5
212,-103810.62
213,-50885.477
214,-6141.0073
215,72835.234
216,-126777.29
217,96389.9
218,-161.8897
219,-65.11844
220,-131301.25
221,23.257025
222,8.39081
223,-98918.52
224,28508.723
225,-53.33791
226,-127770.164
227,-169751.05
228,-164853.48
229,-1703.7277
230,-116122.31
231,-138996.61
232,-165537.83
233,-105297.03
234,-148625.97
235,-205.97462
236,-28849.42
237,29226.277
238,-39629.406
239,80553.12
240,-171137.4
241,-47675.03
242,78819.375
243,-190156.52
244,-52.418343
245,35678.723
246,-217170.4
247,-76912.04
248,-114.07095
249,66478.29
250,-29.869217
251,93368.3
252,98588.695
253,-12475.132
254,-154000.8
255,68099.4
256,36980.902
257,-217181.36
258,75105.19
259,-142777.67
260,-97231.375
261,66986.82
262,-165541.95
263,-104089.79
264,-183158.27
265,-66843.87
266,92398.836
267,46.90509
268,-50756.77
269,7832.034
270,-79422.68
271,-163.56696
272,-149994.58
273,-62161.89
274,-206673.97
275,-52.44949
276,21660.646
277,85525.86
278,78951.69
279,-127052.75
280,-268.25513
281,102631.19
282,-108609.07
283,84009.97
284,-179075.44
285,108814.42
286,-98099.164
287,42136.043
288,98254.68
289,-193595.45
290,78470.61
291,-99576.29
292,46147.574
293,-101950.64
294,-156054.67
295,16973.766
296,5724.7197
297,-196.46716
298,62432.23
299,-183567.88
300,-37299.9
301,-214786.28
302,-56.743057
303,92227.26
304,-98800.78
305,-113425.914
306,-82633.56
307,-103474.67
308,68187.94
309,99037.195
310,93352.06
311,-172431.2
312,95774.49
313,78171.79
314,66554.516
315,73480.13
316,-61490.816
317,-202932.61
318,77099.09
319,-172139.92
320,-3.135777
321,-90087.92
322,-204.06184
323,-70181.766
324,-129302.7
325,5369.6206
326,38148.055
327,40779.88
328,-69.10988
329,12.456671
330,65167.246
331,-46215.258
332,-174804.33
333,-32257.186
334,54938.15
335,-65181.82
336,-169276.08
337,7219.206
338,-204699.9
339,88173.36
340,-96039.164
341,-159461.2
342,72623.46
343,57308.926
344,-195.66681
345,16086.182
346,-67745.18
347,83092.17
348,-27492.568
349,82670.555
350,82983.82
351,-147623.67
352,-148812.78
353,-60.731888
354,-166.72015
355,-206767.86
356,77642.805
357,71303.78
358,19785.432
359,-203247.2
360,70527.234
361,-80948.195
362,-69.25642
363,-61681.055
364,-63747.21
365,73316.13
366,-75455.68
367,-105625.1
368,-55.5697
369,67981.305
370,-196824.1
371,-160245.45
372,100175.81
373,-92148.27
374,106475.22
375,83604.07
376,100721.08
377,-109960.125
378,92531.27
379,-80801.9
380,-38909.344
381,-113595.99
382,-11125.803
383,13590.402
384,-123168.74
