,RecoDatapT_predicted
0,22.363253
1,21.940226
2,22.5992
3,29.597788
4,30.414532
5,24.234922
6,25.213406
7,22.344204
8,20.665028
9,21.226698
10,34.493805
11,28.66032
12,22.847382
13,24.718946
14,21.843807
15,29.730165
16,32.71001
17,22.810862
18,25.526371
19,32.244324
20,24.833443
21,25.17341
22,21.858208
23,42.56867
24,24.01518
25,29.377583
26,20.427694
27,34.13068
28,20.794432
29,24.51899
30,34.04847
31,30.28165
32,23.904617
33,24.559607
34,29.327986
35,28.209633
36,20.607903
37,39.87399
38,20.471367
39,26.384111
40,25.970966
41,39.421875
42,26.419315
43,24.01425
44,24.558064
45,45.32801
46,25.028603
47,24.84853
48,32.282093
49,28.19978
50,31.519196
51,21.91954
52,21.740038
53,28.612999
54,31.151173
55,27.102785
56,24.865595
57,24.411116
58,33.828674
59,20.463678
60,33.438145
61,25.594145
62,35.378906
63,26.253819
64,25.041348
65,38.19884
66,30.809
67,28.005505
68,29.796719
69,23.709616
70,28.401115
71,26.36798
72,26.755247
73,20.509178
74,23.47703
75,32.523216
76,22.018166
77,25.28796
78,28.782867
79,22.3985
80,21.702652
81,29.277689
82,24.97773
83,31.747211
84,24.226648
85,23.187756
86,28.388071
87,25.31742
88,28.932728
89,25.397448
90,24.341883
91,20.410715
92,25.058735
93,26.19014
94,22.661503
95,20.392355
96,20.281631
97,23.039822
98,21.884481
99,27.36253
100,24.613367
101,25.08106
102,30.862343
103,24.983934
104,20.720606
105,26.412157
106,32.06793
107,22.123766
108,20.479364
109,28.92442
110,20.105642
111,31.502132
112,23.553242
113,20.465448
114,36.99045
115,38.037567
116,24.757515
117,22.048067
118,24.869555
119,21.576118
120,20.817108
121,21.026379
122,34.392063
123,23.33849
124,21.960323
125,30.024113
126,25.639603
127,22.165297
128,22.127968
129,23.28569
130,51.099426
131,28.03193
132,23.354355
133,28.501633
134,33.406586
135,30.455793
136,58.722206
137,28.735432
138,22.345417
139,29.107954
140,22.78135
141,45.350525
142,34.092285
143,29.883247
144,30.74326
145,20.280033
146,32.988354
147,23.747005
148,41.595913
149,21.040684
150,25.046286
151,37.827286
152,23.527573
153,24.409315
154,37.214394
155,21.806515
156,61.146286
157,35.9985
158,36.003387
159,24.584908
160,20.58737
161,23.95324
162,26.576887
163,31.948446
164,28.67011
165,29.618328
166,24.97453
167,23.165632
168,35.952618
169,20.611645
170,25.072966
171,29.908499
172,27.481394
173,24.075108
174,20.567675
175,25.530823
176,24.004543
177,20.719492
178,20.575026
179,26.861942
180,23.481277
181,22.025002
182,22.999172
183,24.686314
184,32.066227
185,25.44445
186,26.081757
187,30.828491
188,26.938082
189,31.037262
190,22.445917
191,23.236671
192,31.739918
193,36.078506
194,123.88007
195,22.621597
196,26.687508
197,34.922394
198,34.57943
199,21.646526
200,29.276087
201,23.688967
202,20.97786
203,30.252733
204,26.817278
205,44.708725
206,25.097427
207,22.732004
208,27.072329
209,35.4159
210,21.60654
211,23.060331
212,23.5169
213,20.299166
214,24.93446
215,22.035818
216,24.292202
217,24.83643
218,25.394936
219,23.557484
220,35.72415
221,28.515142
222,21.090597
223,31.54442
224,30.17539
225,22.34831
226,30.59039
227,20.866642
228,24.154703
229,23.881401
230,26.965641
231,22.995424
232,21.912815
233,21.29574
234,20.669022
235,28.4763
236,22.528076
237,20.202976
238,22.527477
239,21.571375
240,26.582521
241,31.341217
242,21.506874
243,33.18005
244,21.804169
245,23.951916
246,22.592606
247,20.568848
248,20.579082
249,25.024277
250,49.18493
251,27.907509
252,21.422962
253,24.19252
254,23.971235
255,30.795395
256,29.413597
257,23.425692
258,38.306408
259,32.581215
260,20.880753
261,26.675577
262,26.09849
263,32.95711
264,21.482708
265,23.507282
266,30.372805
267,29.511492
268,34.62829
269,34.775562
270,30.380356
271,32.979664
272,26.885088
273,22.624233
274,21.73949
275,24.602707
276,25.625853
277,27.902088
