,RecoDataphi_predicted
0,-2.2103937
1,-1.8004428
2,1.6377871
3,-2.7243826
4,-1.1429602
5,2.569581
6,-1.2112452
7,-2.7359054
8,-1.2913605
9,0.05678756
10,-1.5868754
11,1.7931087
12,0.58588266
13,1.4341286
14,-1.3241692
15,2.5803916
16,1.8185556
17,-2.7140248
18,0.2882265
19,0.3459251
20,1.7471906
21,2.753189
22,-2.188463
23,-1.1607658
24,-0.3690779
25,-0.10861383
26,-1.8541949
27,-0.076553576
28,-3.0534754
29,1.3176537
30,0.17439689
31,-0.4719902
32,-2.0658867
33,1.8214128
34,2.8812034
35,0.63443154
36,-1.1860317
37,2.1367607
38,-1.5475348
39,0.18057328
40,-2.3830018
41,0.14554489
42,2.6477828
43,1.8073786
44,-0.35415092
45,-1.0586706
46,1.1933806
47,-3.0556238
48,-2.0789545
49,-3.0399394
50,-2.116089
51,0.9638843
52,3.0007794
53,2.6158025
54,-2.9157093
55,2.582589
56,-1.2868475
57,0.11388011
58,-2.9599547
59,-0.9958942
60,2.918099
61,-0.15358481
62,1.8097448
63,2.8287337
64,0.027982485
65,1.1597891
66,0.22067459
67,-0.8306332
68,-1.0978345
69,0.12423028
70,-1.6254334
71,-2.3482015
72,-2.696924
73,1.7730075
74,-0.12319644
75,0.46502563
76,-1.6878556
77,-0.38131186
78,2.2262306
79,-2.0988739
80,1.809477
81,-0.75473356
82,2.2443295
83,0.36740044
84,-1.2858723
85,0.9619901
86,-0.28064325
87,1.66258
88,-1.531275
89,-2.4134035
90,-1.9808372
91,-1.5020952
92,0.34452096
93,-2.7303293
94,2.2278278
95,-0.44228402
96,-2.1108224
97,1.9943924
98,0.94184947
99,3.0262716
100,-2.632806
101,-2.4900646
102,-0.20150092
103,0.3677387
104,-2.9716272
105,-2.185729
106,0.9049863
107,2.1481917
108,2.689347
109,-0.38798505
110,-0.9565392
111,2.3659098
112,-1.0357875
113,0.49212858
114,0.07983962
115,-1.8608662
116,-1.9963325
117,-0.6963679
118,0.31949118
119,0.8895089
120,-1.9279907
121,1.1119803
122,-2.4651005
123,-0.645941
124,1.1480597
125,-2.0883052
126,-1.5578505
127,2.2801297
128,2.6916587
129,2.7274828
130,-2.5124276
131,0.6997979
132,-0.2402166
133,1.0587301
134,-0.4303221
135,0.79725754
136,1.5355393
137,-1.9071754
138,-0.12630682
139,1.8883876
140,2.7834952
141,0.31079513
142,0.2858805
143,-0.97909695
144,-2.8076534
145,-1.376997
146,-1.7318786
147,1.6737506
148,2.5020237
149,0.20603107
150,1.6411579
151,1.8315344
152,0.74411625
153,1.1613123
154,1.7512221
155,0.8796961
156,3.0435295
157,1.645869
158,2.680003
159,1.0633402
160,0.06983755
161,2.20918
162,1.7106924
163,-0.79395854
164,-0.09552123
165,-1.7309194
166,-2.1233487
167,-0.053319406
168,-0.07328135
169,-1.779972
170,-2.589887
171,0.5597877
172,1.0914434
173,0.448139
174,2.144253
175,1.3893033
176,0.817854
177,0.20639864
178,1.5134124
179,2.4757488
180,-1.3163292
181,-0.54883647
182,-2.9639266
183,-3.0472946
184,1.6362888
185,0.6618855
186,2.3682473
187,-0.31731084
188,1.0491823
189,-2.715705
190,2.968661
191,-0.4803963
192,-0.24460854
193,-1.8100815
194,0.2781079
195,1.0430766
196,0.59355426
197,0.047039054
198,1.1369363
199,2.3017519
200,-1.6087763
201,1.2424092
202,-0.308673
203,-2.721612
204,-2.8566942
205,1.7954091
206,2.5638027
207,-1.7277399
208,-2.8392944
209,-3.0095143
210,-0.11247521
211,1.5191383
212,1.196981
213,-1.2227018
214,1.7627131
215,-1.4316825
216,0.20241441
217,-0.41820198
218,-1.2004231
219,-0.032090817
220,-1.0601126
221,0.08935701
222,-3.0861046
223,0.970075
224,-0.09022605
225,-1.7032915
226,0.2126044
227,-1.498264
228,2.3676407
229,2.9767535
230,2.6412952
231,-0.10616984
232,-0.5065954
233,-1.7408963
234,1.5466899
235,-2.4477386
236,1.1549459
237,3.1392848
238,-1.3501729
239,-1.2022841
240,1.5185617
241,-1.3800983
242,0.87752926
243,2.2594745
244,-1.6607074
245,1.228614
246,-0.4668545
247,0.059574448
248,2.9053345
249,-2.993552
250,2.2222774
251,1.1509671
252,1.589895
253,-0.457922
254,0.44870427
255,-2.311797
256,1.9448302
257,0.38794026
258,-0.62951213
259,2.3194058
260,-2.6100402
261,2.5957963
262,-1.3502154
263,2.6349459
264,-0.29424998
265,-1.0490211
266,0.13278952
267,1.6765473
268,-0.28485537
269,0.17215523
270,1.2842305
271,2.2326198
272,0.70472616
273,-1.3435516
274,0.567457
275,2.6049347
276,-2.6989965
277,-1.3403445
278,1.0405831
279,-0.66442186
280,-1.2838684
281,-2.1018088
282,-2.4224057
283,2.3101742
284,2.8291547
285,1.9039093
286,-0.5679164
287,2.8949225
288,2.6760697
289,2.5221968
290,-1.4328227
291,2.655828
292,1.2383381
293,1.7174765
294,-0.36777157
295,1.0924743
296,1.3497595
297,0.048008133
298,2.0608625
299,-1.9131336
300,-0.87952924
301,-2.4801517
302,-1.5681084
303,-2.9303637
304,-1.055141
305,-1.9090871
306,-2.6950552
307,-0.6946132
308,-1.0037564
309,2.0827453
310,1.4822329
311,-1.4534853
312,-2.0889823
313,-1.0805452
314,-2.3037534
315,1.9065523
316,-0.89425385
317,0.15573461
318,-1.6039441
319,-1.5147287
320,1.720463
321,-2.7189226
322,-2.62215
323,-2.4192762
324,-0.004360807
325,0.0012697121
326,2.0624847
327,-1.4541634
328,2.7053478
329,-1.5642282
330,-2.2611208
331,-1.3451784
332,3.0198557
333,2.6984515
334,0.7978998
335,0.4197759
336,0.6344765
337,2.7166674
338,-2.5575266
339,-0.006662369
340,0.6519569
341,2.7369282
342,-2.5913155
343,0.40039298
344,0.05885987
345,-2.9361472
346,-0.20928045
347,2.3476183
348,-2.3491168
349,-2.8346443
350,-0.12189177
351,2.4641435
352,0.40900603
353,1.288212
354,-1.278442
355,2.7621207
356,1.9501166
357,2.4657168
358,-2.1842039
359,2.599321
360,1.9113002
361,-0.65644866
362,-1.7498945
363,-2.9593408
364,-2.6034048
365,0.2988425
366,0.64226437
367,-2.7198591
368,1.1795875
369,2.6435087
370,-3.0893965
371,-0.8997267
372,2.358947
373,-1.8602151
374,-0.36846206
375,-2.068696
376,0.101578236
377,0.8587492
378,1.5994745
379,1.854158
380,-1.8189813
381,2.1019187
382,-1.7688478
383,0.6448785
384,0.17729908
385,2.8998365
386,-2.700564
387,-1.7214547
388,2.4720488
389,1.3198321
390,-2.839311
391,-0.83344823
392,1.1310261
393,0.6029832
394,-1.3730475
395,-0.35473758
396,-2.0110524
397,-2.0818217
398,1.4136605
399,0.6365713
400,1.7962532
401,-0.25167164
402,2.6350381
