,RecoDataphi_predicted
0,126243.62
1,-23447.014
2,-31121.43
3,-52915.805
4,-77082.17
5,-36.1751
6,-72340.59
7,-36769.492
8,17.922012
9,54189.188
10,-25535.111
11,46417.027
12,-30399.625
13,-0.5470634
14,-65569.16
15,-7.686094
16,-6.6867337
17,-115334.14
18,-125057.25
19,-55679.613
20,-64328.195
21,-101793.28
22,-12736.784
23,-93911.34
24,-39.995747
25,-110738.06
26,-12870.054
27,-96265.58
28,23573.127
29,-56259.145
30,-86.26974
31,-82171.83
32,-52641.562
33,-73636.32
34,-60254.273
35,96126.75
36,-112112.56
37,-66146.97
38,-71681.7
39,-136523.14
40,-46994.723
41,124776.484
42,31564.686
43,-66.44414
44,14646.183
45,-80895.7
46,-4702.989
47,-31307.86
48,55090.855
49,28048.682
50,-119738.47
51,-98858.02
52,127058.64
53,-87078.08
54,39981.836
55,-44729.176
56,45966.87
57,-38101.395
58,-67673.44
59,85616.57
60,-66012.29
61,86967.484
62,-27.308008
63,-60492.23
64,-112424.945
65,-13320.893
66,-51.874523
67,-84193.51
68,43573.64
69,85739.29
70,-3413.596
71,-97365.9
72,99417.48
73,86331.516
74,-52.493584
75,-18337.37
76,-61067.89
77,-39961.477
78,27311.934
79,-86564.67
80,102809.72
81,-93240.26
82,-16015.81
83,-30268.545
84,-7.4589705
85,-1870.0597
86,54840.47
87,41523.98
88,-6157.314
89,-52149.008
90,-44870.14
91,-52261.773
92,-33650.586
93,-49365.8
94,-56.3425
95,295.98276
96,-46273.65
97,-62528.844
98,66420.586
99,62273.383
100,-32539.73
101,-1335.5085
102,-28899.432
103,40969.16
104,-132664.81
105,-57985.176
106,14847.469
107,-88739.836
108,107746.92
109,-113766.88
110,-8.079728
111,134041.62
112,-88233.516
113,118273.97
114,-129115.87
115,-138618.92
116,-29865.174
117,7353.1636
118,-29182.895
119,-91686.055
120,146632.88
121,-65131.652
122,-15920.692
123,-67035.75
124,46526.633
125,-68328.54
126,414.5352
127,47012.46
128,-53.739487
129,-6.4136677
130,-78198.01
131,38568.246
132,62609.832
133,-3745.3713
134,26222.816
135,-16180.237
136,94905.055
137,140784.31
138,3346.7275
139,38681.848
140,46815.67
141,-22391.865
142,99789.79
143,37770.36
144,69167.195
145,61686.09
146,99963.46
147,27386.262
148,-21.693642
149,-100.6543
150,-9.16523
151,-37129.32
152,38229.32
153,67715.266
154,-81459.13
155,-108571.44
156,-23.165281
157,-27492.453
158,37273.03
159,-55632.953
160,-109219.625
161,-67529.19
162,15.298944
163,129850.414
164,-60022.777
165,22110.756
166,43737.65
167,-59260.95
168,10250.003
169,819.2685
170,16.265858
171,-8573.413
172,-109462.25
173,-41606.254
174,-80.073006
175,32714.1
176,-3051.776
177,52696.465
178,-50794.812
179,-21962.627
180,-20.318184
181,-38.585598
182,81103.164
183,-57505.984
184,-63615.14
185,-139250.38
186,-8070.9126
187,-19.907562
188,-84213.27
189,55529.316
190,-37641.65
191,59783.03
192,20803.668
193,86033.125
194,-34401.85
195,-54986.152
196,-47.681774
197,-85.18246
198,79715.24
199,39614.895
200,-70.91724
201,-44.79843
202,65784.695
203,-19910.428
204,-21153.996
205,76791.375
206,-68460.58
207,-48.573147
208,14616.567
209,-41676.7
210,49942.95
211,68394.68
212,-40003.777
213,-55881.023
214,-85026.01
215,29828.438
216,83403.4
217,-30.623596
218,80461.14
219,99876.836
220,23947.08
221,-0.44996879
222,-42735.277
223,-123006.805
224,-137529.86
225,86469.07
226,-33245.41
227,98861.664
228,82346.81
229,128949.086
230,-92013.49
231,-119996.42
232,-31770.527
233,-108172.41
234,-28004.299
235,33088.977
236,10662.423
237,-10193.719
238,78654.08
239,-48.50677
240,-82474.02
241,-40059.867
242,-107785.46
243,114335.305
244,-63579.7
245,8.621343
246,-16.553427
247,-18134.117
248,72768.69
249,-58.857388
250,-61014.605
251,12734.611
252,-34.911556
253,48795.547
254,38670.867
255,4.8957458
256,-72248.086
257,-53.895714
258,-27362.717
259,-54307.016
260,-32685.65
261,-39519.387
262,-27507.414
263,-110943.33
264,81389.65
265,-120379.4
266,-59076.133
267,-48.102592
268,-46968.566
269,-29404.377
270,55278.746
271,51363.12
272,-131324.62
273,-37282.414
274,52213.266
275,8.889229
276,-105459.98
277,26264.219
278,38637.777
279,3091.7334
280,40628.65
281,48562.562
282,-16.226973
283,120659.58
284,-53239.258
285,10.527632
286,-483.14108
287,72270.52
288,-117467.49
289,-111202.85
290,-84981.45
291,-64524.992
292,-64.50873
293,67955.54
294,-72031.484
295,52843.12
296,36234.12
297,-68.355995
298,-97832.516
299,-10483.455
300,-98239.2
301,-96899.7
302,118419.56
303,41205.96
304,-83482.266
305,-7807.861
306,106830.48
307,-79629.24
308,-34296.996
309,40319.72
310,36005.066
311,117474.22
312,-1612.1128
313,-380.0111
314,0.38980705
315,-111280.06
316,-30558.533
317,-7454.536
318,74702.75
319,-29040.756
320,48668.664
321,85736.47
322,-39312.83
323,-20.412823
324,85933.73
325,-67642.89
326,10341.302
327,-108486.15
328,-4475.789
329,-69.540886
330,34575.24
331,33291.758
332,-12103.35
333,-43299.902
334,67211.91
335,50910.31
336,55361.574
337,-2140.433
338,-62486.773
339,4789.3486
340,-120158.36
341,64831.688
342,-35537.492
343,-41.387096
344,28839.701
345,50935.05
346,-63694.63
347,-103119.1
348,-126713.664
349,53538.92
350,-85415.81
351,-83052.24
352,67790.37
353,13925.376
354,-33.223923
355,-53363.54
356,-23653.709
357,-14.796297
358,-32.919456
359,-84802.016
360,30330.807
361,63665.062
362,46330.996
363,-80.321175
364,-43839.656
365,-94299.68
366,106083.85
367,-35797.832
368,127803.64
369,-44199.074
370,-52135.82
371,-108015.16
372,-15836.421
373,-580.657
374,-39409.508
375,8908.511
376,27337.848
377,96943.82
378,-62743.336
379,-11384.913
380,-72975.1
381,-85499.26
382,538.5296
383,79226.7
384,-1952.1343
385,143411.11
386,18664.281
387,-89232.62
388,53326.25
389,-5409.053
390,-86746.914
391,-98692.01
392,37216.777
393,52175.81
394,39658.07
395,46384.86
396,-40638.01
397,97277.79
398,-50525.22
399,-32865.6
400,-77521.695
401,-26.696335
402,-10957.963
403,-63560.613
404,16880.033
405,-22351.973
406,-27.703346
407,-53844.375
408,-111369.57
409,-112956.79
410,42913.695
411,-15522.781
412,93135.37
413,-110046.695
414,60094.305
415,-111438.98
416,75004.92
417,-43413.56
418,95030.52
419,-54533.242
420,32933.285
421,114044.24
422,-50.297733
423,85083.23
424,-121014.57
425,-81432.39
426,-41961.023
427,-48594.984
428,74564.5
429,78186.63
430,-13131.098
431,-69471.56
432,162430.1
433,-45.231697
434,-86975.195
435,18329.559
436,-24144.812
437,-59560.766
438,87210.21
439,-102172.54
440,-79944.17
441,7568.2046
442,95477.15
443,-57738.895
444,-45970.168
445,66351.43
446,69756.88
447,82437.0
448,-30.02714
449,-33973.86
450,-100564.945
451,-33894.836
452,-77351.63
453,-82872.98
454,-45997.543
455,-60.95738
456,31994.89
457,-88672.945
458,-33.941875
459,-85694.336
460,-1.9458436
461,11222.605
462,-67004.96
463,26438.27
464,-56508.12
465,-27.723255
466,-44274.92
467,111033.77
468,-18854.412
469,-49.851078
470,-29304.156
471,61885.84
472,15961.929
473,-16.884531
474,-34540.703
475,-71672.695
476,-21765.883
477,-11044.119
478,-56066.15
479,76506.56
480,56016.8
481,-82410.91
482,55014.18
483,-109718.94
484,-22.776577
485,102754.12
486,-29238.11
487,28.236158
488,-67694.47
489,7626.45
490,9.202899
491,-49116.207
492,-49135.402
493,-105491.34
494,66337.37
495,-32254.514
496,-26.817709
497,-13.014767
498,-929.4332
499,-36954.41
500,-31187.688
501,16628.578
502,67933.055
503,-33157.11
504,-41814.91
505,-45115.57
506,-5976.189
507,-129349.79
508,7.915744
509,81625.21
510,-25079.254
511,-70712.12
512,-50143.73
513,-11445.058
514,-27610.82
515,-29144.258
516,-83151.69
517,41203.035
518,-104164.7
519,-67907.85
520,-30736.809
521,36388.13
522,48069.44
523,83879.516
524,-74619.805
525,-87615.86
526,-89523.52
527,-11245.089
528,-84717.29
529,-21.324795
530,-33954.574
531,-40419.55
532,-83158.58
533,3341.4788
534,12017.371
535,-90574.84
536,-83.98887
537,146.29813
538,-51156.64
539,-93940.57
540,-66983.74
541,-125275.984
542,-34.84078
543,117894.79
544,52011.25
545,-33209.656
546,76207.37
547,-86213.96
548,-50.62707
549,-52382.305
550,-62930.04
551,-24111.18
552,-39.019455
553,87614.93
554,113589.47
555,8950.077
556,70563.61
557,84675.05
558,-89235.61
559,-33426.59
560,8.839976
561,-42309.016
562,-48358.484
563,-101465.695
564,-77810.586
565,-27737.521
566,94635.98
567,-64476.227
568,-70.874405
569,-11922.721
570,-98207.516
571,-65990.5
572,-120358.02
573,-64019.94
574,88341.43
575,-39917.305
576,31263.643
577,-56063.273
578,-45177.613
579,-29.638832
580,69609.49
581,96112.19
582,75808.04
583,-10077.284
584,67193.49
585,-70447.45
586,-55054.36
587,68653.52
588,-33650.953
589,-1014.7108
590,53862.316
591,-31748.504
592,-32.681747
593,149183.5
594,-30284.717
595,53870.477
596,76520.91
597,-30822.25
598,-40.93971
599,-43.58429
600,-25475.363
601,-116846.3
602,87972.875
603,-59910.137
604,-86988.555
605,-79836.99
606,-29076.777
607,57058.3
608,-75371.484
609,-103364.734
610,121711.734
611,82414.52
612,-40041.83
613,-16120.616
614,67100.21
615,-37910.918
616,-64102.75
617,29961.77
618,95953.87
619,431.4615
620,-44347.457
621,59522.54
622,-2570.3843
623,-131831.19
624,-136142.52
625,35298.26
626,-39.890232
627,22867.121
628,-85003.85
629,-74.68197
630,101542.72
631,108903.35
632,80748.59
633,91933.195
634,-70.98303
635,-53958.03
636,-358.17783
637,-43.080956
638,8.165157
639,-72550.21
640,-10.808146
641,-61438.617
642,96044.516
643,-76780.63
644,-27.482563
645,77949.01
646,-60039.227
647,-37488.363
648,0.5037228
649,-73391.1
650,-6645.2773
651,-74266.82
652,-32479.752
653,-61.23815
654,37229.71
655,-63730.094
656,80514.016
657,-70229.95
658,-16568.031
659,57118.195
660,-81156.16
661,-17566.256
662,62005.0
663,-103351.66
664,96476.9
665,-74815.04
666,-53975.242
667,-81439.805
668,-56739.05
669,-30021.87
670,-9.257977
671,-18723.72
672,-72767.336
673,-54.63759
674,8329.194
675,-85344.79
676,-23683.291
677,104113.99
678,-95499.02
679,-73024.49
680,-50657.387
681,48648.98
682,-58554.81
683,41761.016
684,96654.414
685,10824.41
686,-29.319878
687,257.98795
688,19388.816
689,22952.027
690,-79540.21
691,-95630.234
692,-74215.484
693,-36352.066
694,105430.6
695,-25.288069
696,18342.314
697,43838.574
698,-66.14223
699,-394.4804
700,100058.87
701,23867.197
702,-85139.56
703,-5612.4717
704,-883.26685
705,-102860.84
706,58528.656
707,118665.13
708,81502.83
709,-51486.668
710,-30372.873
711,123893.234
712,54334.37
713,-57921.543
714,-25644.135
715,116600.95
716,45565.72
717,60749.723
718,-135635.47
719,-45607.64
720,82473.43
721,-35189.15
722,-113705.06
723,101760.125
724,132828.25
725,-76599.92
726,-82697.52
727,69806.98
728,-61139.242
729,39844.93
730,-18573.676
731,-15.876873
732,-5989.415
733,127762.54
734,52153.22
735,4051.7554
736,-81936.21
737,-93731.83
738,-10.057506
739,58349.836
740,103258.08
741,-19.102688
742,-42975.41
743,-51279.12
744,-727.24176
745,-40889.754
746,-129761.734
747,-112530.72
748,106735.586
749,-98036.31
750,-142800.66
751,-87703.51
752,-33041.76
753,158842.66
754,-84477.93
755,-38.980938
756,-129893.88
757,-31.777863
758,88047.664
759,-10820.198
760,-47.86392
761,-45671.61
762,37718.656
763,-48623.562
764,-45049.89
765,11461.892
766,-88335.57
767,25446.738
768,-46.950665
769,-47.496555
770,-56211.668
771,88032.49
772,-49357.496
773,-110248.97
774,-36242.13
775,27.758282
776,-28210.004
777,45481.664
778,-52817.98
779,68502.74
780,121918.14
781,-79.546265
782,11364.8
783,77001.055
784,92768.48
785,-78.642876
786,62923.656
787,144251.45
788,-70692.38
789,-42.588478
790,8.311139
791,18991.668
792,-110631.75
793,-34508.43
794,104149.97
795,34601.656
796,-123798.85
797,-12.709606
798,-68321.086
799,-34.357925
800,4260.396
801,-66462.61
802,-69331.93
803,-49.350643
804,-7.75818
805,80614.2
806,44030.785
807,-43605.69
808,-45258.242
809,38069.906
810,41365.684
811,41075.11
812,-48694.48
813,-128647.28
814,-49.097454
815,51061.652
816,-37930.73
817,-29700.055
818,-36.972946
819,-34.50622
820,-85440.82
821,99218.445
822,-55892.625
823,17788.982
824,-30193.354
825,-47.14676
826,-10202.082
827,-87414.52
828,-93983.04
829,-61198.51
830,-54194.72
831,136695.14
832,-113320.15
833,-82301.734
834,81621.04
835,-63040.56
836,-67109.87
837,62503.047
838,-82528.67
839,-51182.742
840,-28.41773
841,-58739.695
842,-50.53711
843,115389.23
844,-28206.812
845,74501.12
846,5.894782
847,40471.45
848,29714.068
849,-63403.047
850,-66117.945
851,-5600.519
852,106137.6
853,-41668.78
854,-884.41815
855,45488.57
856,66588.5
857,-100603.42
858,-20102.652
859,-88065.66
860,-81714.71
861,34978.76
862,-58552.95
863,-46.397385
864,-20260.898
865,69950.51
866,-451.3124
867,-26.892017
868,50525.2
869,-21210.014
870,-64090.336
871,-55879.746
872,8208.558
873,7.906545
874,-81363.52
875,141413.39
876,15980.728
877,56862.52
878,-20411.24
879,-64093.195
880,-105199.31
881,-91065.875
882,-56737.215
883,-87736.97
884,112171.484
885,142213.52
886,114514.05
887,-52178.25
888,-135909.78
889,-32012.928
890,-106670.42
891,85982.016
892,-79315.945
893,-75403.93
894,-25640.89
895,-20.791666
896,77919.34
897,-73486.83
898,-37694.92
899,-38760.02
900,-59658.746
901,-51514.297
902,72524.16
903,-71.0986
904,-25.803457
905,37642.76
906,-29287.217
907,-34793.848
908,-37302.977
909,122115.875
910,-117710.11
911,-101059.945
912,20992.002
913,31094.498
914,16.713108
915,-18.374763
916,-63494.125
917,48200.07
918,101643.22
919,68503.84
920,72624.87
921,35191.945
922,-66768.38
923,-35505.32
924,-33798.387
925,-133233.1
926,-10.922798
927,-26.512814
928,-79549.625
929,-9228.11
930,-111046.45
931,-33444.74
932,43316.965
933,-78283.99
934,-71587.04
935,-29123.137
936,82201.71
937,-32707.543
938,77866.82
939,75414.41
940,-69742.08
941,82024.01
942,-90810.96
943,-22.047928
944,5937.4756
945,-24.079721
946,-63406.438
947,74931.24
948,-36280.414
949,36348.83
950,-47.753254
951,9814.204
952,57707.19
953,-51207.863
954,18919.898
955,45536.195
956,-118173.61
957,-60448.453
958,-50.448288
959,33665.438
960,-10401.225
961,-72088.22
962,66189.86
963,-94696.76
964,-49521.848
965,55887.31
966,-2766.964
967,-122198.54
968,-79684.016
969,-28755.021
970,45015.34
971,-55958.797
972,3858.7256
973,68147.914
974,-22.39421
975,69890.57
976,65577.5
977,105231.25
978,-84718.05
979,-51919.695
980,-118212.05
981,-48386.39
982,-60677.996
983,-44190.348
984,16771.5
985,-97816.0
986,-16.799807
987,-28.446522
988,14817.56
989,-72661.86
990,-66378.82
991,-96559.81
992,-59.460926
993,-102912.63
994,46311.72
995,-53976.996
996,-45.597565
997,76108.29
998,-70.151665
999,66191.3
1000,-55591.273
1001,-116468.11
1002,151.62534
1003,69538.64
1004,-68740.28
1005,7.843196
1006,-60687.953
1007,-88330.96
1008,106243.82
1009,29781.42
1010,-79788.48
1011,-101135.24
1012,16.35756
1013,-48967.31
1014,52643.23
1015,-3.839185
1016,63323.242
1017,-29977.66
1018,-56463.656
1019,49880.293
1020,109730.445
1021,9283.171
1022,70163.01
1023,-87645.04
1024,-21395.443
1025,-57975.363
1026,85558.76
1027,-16621.371
1028,8.808879
1029,-118484.97
1030,-65063.824
1031,-31.162563
1032,22.92805
1033,-35697.152
1034,17067.42
1035,-10.456568
1036,11150.172
1037,50572.617
1038,-117338.57
1039,37065.766
1040,-68108.84
1041,-10.373061
1042,41287.094
1043,-126542.95
1044,-74800.695
1045,-117661.49
1046,-34.34648
1047,-24.706217
1048,111038.51
1049,-44658.125
1050,23206.875
1051,-44.489445
1052,100741.14
1053,-82965.19
1054,-19948.314
1055,-53715.63
1056,83998.19
1057,-116985.9
1058,-67.65635
1059,-81.041756
1060,122883.71
1061,27867.791
1062,-58836.797
1063,-66285.01
1064,-27436.076
1065,-14732.417
1066,-66908.45
1067,-62146.06
1068,8.037832
1069,-14794.481
1070,2281.0215
1071,-30990.69
1072,-108229.055
1073,15909.634
1074,54040.74
1075,-86404.1
1076,-61480.574
1077,-55833.906
1078,151.1552
1079,-1776.1345
1080,-3.6400492
1081,29100.227
1082,-80139.52
1083,56074.688
1084,-75541.37
1085,-79.538414
1086,-111302.49
1087,-59039.426
1088,-42402.69
1089,-31952.557
1090,-68990.48
1091,35115.99
1092,-56307.58
1093,41298.176
1094,-27471.25
1095,-122142.73
1096,-30916.873
1097,50682.523
1098,-0.8326852
1099,44912.797
1100,25187.844
1101,446.72073
1102,-103058.89
1103,43487.926
1104,-50.506413
1105,-97304.016
1106,100092.75
1107,-33.688168
1108,-49.398014
1109,25364.105
1110,70450.87
1111,-92279.086
1112,-8478.158
1113,-43338.68
1114,-35410.824
1115,19532.926
1116,-31.9932
1117,-101683.2
1118,-35562.96
1119,104216.58
1120,128304.52
1121,-58329.867
1122,26845.906
1123,55542.508
1124,-49080.883
1125,-75136.96
1126,87440.92
1127,-52873.5
1128,-30144.758
1129,46468.297
1130,3100.802
1131,-94555.46
1132,44152.652
1133,2815.544
1134,-129194.41
1135,-100597.445
1136,-54342.652
1137,-29771.723
1138,-76802.3
1139,3863.046
1140,-31059.441
1141,34384.965
1142,-6382.544
1143,-107843.0
1144,88411.7
1145,56879.875
1146,-62.1117
1147,-106535.55
1148,-47329.39
1149,142354.92
1150,-46175.438
1151,-30306.764
