,RecoDataeta_predicted
0,-3.3506076
1,-1.8146607
2,-3.6884387
3,-1.7070203
4,-1.2632031
5,-3.1965113
6,0.9324179
7,1.5315688
8,-2.8727543
9,1.6468239
10,2.8459013
11,3.997519
12,2.6838102
13,-1.7934562
14,2.539524
15,-3.273303
16,-0.19142321
17,-0.9126494
18,-3.1877797
19,-0.4092234
20,0.3725177
21,0.3991275
22,3.3706355
23,1.1935827
24,1.2475055
25,-2.0927494
26,4.2924914
27,1.777677
28,0.043218352
29,0.7635746
30,3.1389136
31,1.5107973
32,1.6157103
33,-4.240223
34,-0.6428891
35,0.5657401
36,4.056354
37,-1.4026732
38,4.071273
39,3.484419
40,-1.7033724
41,-3.3729124
42,-0.2759399
43,2.8363001
44,0.6999659
45,4.5784016
46,-0.829067
47,-2.178724
48,-2.9874241
49,-1.0016884
50,-3.6023343
51,-1.8880805
52,-2.9642687
53,2.9006877
54,1.8405781
55,-1.7287943
56,4.0747666
57,1.4986815
58,1.8989923
59,1.11182
60,-1.3722168
61,-2.585675
62,-2.7217045
63,0.8758461
64,1.138184
65,-1.7395462
66,0.2152784
67,-3.6366773
68,-1.7491995
69,-2.2338061
70,1.57552
71,3.1513138
72,-1.787874
73,-0.10012257
74,2.7732635
75,-3.5603538
76,-0.116035774
77,0.7833118
78,-1.2382423
79,0.66099644
80,1.9979196
81,-0.03921256
82,-0.43342334
83,0.41562307
84,1.987347
85,2.036903
86,-0.13596715
87,1.7220154
88,-3.9553382
89,2.9441626
90,2.095307
91,1.2255944
92,-2.1790907
93,-1.1945988
94,1.701043
95,0.10936108
96,-0.4635715
97,1.6366093
98,-1.4597844
99,-1.1789747
100,0.93767834
101,0.016095916
102,0.1794994
103,-2.48807
104,2.572942
105,0.3780953
106,3.5812056
107,-1.1136789
108,-3.2599807
109,-2.845979
110,0.6390345
111,4.009224
112,-1.7436901
113,4.0535283
114,-3.0495849
115,-1.7306198
116,-2.1283767
117,-3.184338
118,0.87318087
119,1.4916091
120,2.7827435
121,2.3596148
122,1.6353911
123,2.4441867
124,-1.9946699
125,2.8861914
126,-4.3094654
127,2.8738396
128,3.275318
129,2.4611726
130,2.5022492
131,-2.083692
132,-2.912432
133,0.78801405
134,1.4383922
135,-3.1302037
136,-0.6812037
137,-0.06795504
138,-2.8489645
139,-3.7388792
140,-1.6880925
141,1.9316038
142,-0.22660695
143,2.9097333
144,-2.810619
145,4.867944
146,2.0924318
147,-1.372594
148,0.88709
149,-2.0150566
150,-0.29382437
151,1.8392107
