,RecoDatam_predicted
0,9.677951
1,5.220784
2,5.9212675
3,8.397436
4,5.311636
5,8.921613
6,5.676873
7,9.71694
8,6.4422073
9,8.002633
10,11.741474
11,7.1746902
12,5.5089483
13,7.6095796
14,6.0464735
15,4.2096167
16,14.382454
17,10.238308
18,6.955326
19,5.043304
20,5.161932
21,10.884708
22,7.6533427
23,6.049158
24,6.2809486
25,5.243441
26,6.6304417
27,7.2589436
28,4.5556326
29,4.4656153
30,4.503413
31,5.6148415
32,3.9622157
33,9.028989
34,7.296785
35,11.952395
36,9.451462
37,4.6455817
38,9.989727
39,7.4451065
40,6.8826904
41,5.0692577
42,6.3730574
43,6.250968
44,2.9961734
45,5.7280474
46,7.6156244
47,9.778107
48,6.69627
49,5.635445
50,8.399786
51,7.0799785
52,7.079753
53,7.6222973
54,4.300823
55,5.9528213
56,4.9007444
57,6.313382
58,5.434933
59,8.272772
60,7.442442
61,10.50221
62,7.6942525
63,5.536384
64,3.8167343
65,7.665092
66,10.613608
67,7.661011
68,5.98969
69,7.1967473
70,13.706202
71,13.383332
72,3.8424995
73,7.989891
74,6.7892566
75,6.7737017
76,9.310725
77,8.5125265
78,5.431699
79,3.8572462
80,5.511572
81,4.236665
82,5.675894
83,5.7313385
84,7.466696
85,8.689586
86,8.644512
87,10.224242
88,5.4734745
89,5.699192
90,1.9818535
91,6.652091
92,8.63566
93,8.324926
94,7.4352784
95,4.814478
96,4.598708
97,7.920667
98,7.2951827
99,10.777342
100,6.565127
101,5.717372
102,6.089776
103,9.835061
104,9.717807
105,7.629937
106,11.126433
107,5.200632
108,7.345013
109,4.9702606
110,4.8891377
111,4.5717506
112,6.392682
113,4.8537703
114,13.634001
115,10.135034
116,6.02013
117,7.244338
118,7.732225
119,10.540702
120,5.5380325
121,5.510775
122,4.61385
123,6.655473
124,6.3094187
125,9.891536
126,4.712166
127,9.905395
128,6.800412
129,7.795519
130,7.241039
131,8.417074
132,7.4415665
133,7.117352
134,10.238715
135,6.182709
136,8.707038
137,10.122574
138,8.227278
139,7.1164184
140,8.099244
141,6.056225
142,6.9811354
143,10.869035
144,3.0157313
145,5.0945797
146,4.804783
147,8.885285
148,8.4507885
149,5.289899
150,8.44321
151,8.092894
152,6.503908
153,10.613221
154,14.198973
155,8.814515
156,4.23479
157,7.1136937
158,7.8756185
159,11.104615
160,7.158675
161,7.8675876
162,5.9586916
163,5.426138
164,5.8341002
165,10.361216
166,12.69216
167,10.307249
168,6.8329325
169,8.52267
170,9.982608
171,6.4507775
172,6.472612
173,7.4705725
174,4.873722
175,4.6585345
176,7.0772867
177,8.798716
178,8.150272
179,7.835887
180,4.7408776
181,5.623702
182,7.04484
183,11.516714
184,5.35139
185,6.598179
186,9.138627
187,6.6897364
188,6.0832386
189,6.0648527
190,4.376716
191,10.4029455
192,7.8506823
193,4.127599
194,6.5549603
195,6.392162
196,7.9582205
197,6.544709
198,5.8158603
199,6.791732
200,4.963542
201,4.0442677
202,5.4435263
203,10.813261
204,6.182474
205,9.412107
206,7.4509687
207,7.477255
208,7.0758657
209,6.5109863
210,7.2417197
211,11.085071
212,7.708097
213,7.6011457
214,6.5979958
215,6.508789
216,9.639634
217,8.078354
218,2.511581
219,8.361653
220,9.609504
221,8.334341
222,5.345419
223,3.787229
224,9.491919
225,10.961233
226,2.7374916
227,6.302409
228,9.967945
229,5.391936
230,6.962716
231,7.942426
232,6.955579
233,4.8770022
234,9.994915
235,5.7100334
236,4.512151
237,6.057811
238,9.183022
239,5.8058844
240,5.2973356
241,4.261572
242,6.429618
243,9.984458
244,8.981129
245,7.5595455
246,6.8109593
247,7.87198
248,7.9932737
249,7.2243257
250,2.5470905
251,10.502017
252,7.556825
253,12.410898
254,7.450297
255,8.031177
256,5.705775
257,5.9382863
258,7.263369
259,7.9179425
260,3.0117044
261,7.978248
262,4.4480133
263,10.517519
264,6.524635
265,5.8458424
266,8.353049
267,6.831176
268,7.452432
269,5.998006
270,5.632922
271,8.571529
272,5.551771
273,7.406111
274,7.097548
275,5.4893236
276,5.2382965
277,6.909283
278,12.106639
279,9.378761
280,5.5296016
281,5.517788
282,9.321724
283,5.755725
284,7.653915
285,10.266536
286,4.5201645
287,5.5729856
288,10.569105
289,5.5574512
290,6.311901
291,9.147382
292,10.4283285
293,8.140089
294,8.610641
295,4.019848
296,10.860983
297,5.4632382
298,8.261244
299,7.101482
300,14.805403
301,5.232622
302,7.711428
303,8.900831
304,9.355926
305,4.1264153
306,6.0132976
307,6.4840393
308,7.81973
309,8.076499
310,7.339589
311,8.675243
312,4.684103
313,5.885366
314,5.196655
315,7.796321
316,9.315081
317,7.2291822
318,8.158811
319,9.48231
320,7.749908
321,6.718466
322,9.541257
323,2.8977637
324,6.421131
325,10.562124
326,7.8623176
327,7.773128
328,4.9943867
329,8.362742
330,7.6403155
331,9.645493
332,4.551652
333,9.257789
334,6.4154806
335,7.6623306
336,5.0119658
337,4.5077353
338,5.89657
339,11.942229
340,9.328812
341,5.0968127
342,6.540102
343,8.819553
344,5.636671
345,7.761155
346,8.84028
347,11.202089
348,4.641238
349,10.7485485
350,8.093372
351,9.378686
352,6.9908876
353,5.656561
354,6.2289076
355,3.5369391
356,7.303689
357,9.95825
358,8.12523
359,11.116268
360,8.390007
361,7.894581
362,5.558178
363,5.359417
364,8.010322
365,10.674269
366,5.817506
367,8.619425
368,4.7984295
369,9.964691
370,8.647537
371,10.475011
372,7.164623
373,10.150876
374,10.633567
375,7.273704
376,10.594598
377,8.612601
378,5.281979
379,4.7297115
380,6.8373137
381,12.700121
382,8.060414
383,5.137221
384,7.6237965
385,4.8640757
386,7.6648817
387,6.5056524
388,6.59985
389,4.2575045
390,4.134679
391,4.48575
392,8.076022
393,10.516546
394,12.097669
395,8.997427
396,4.312136
397,7.9214187
398,9.134644
399,8.194032
400,9.908875
401,8.335464
402,7.4896455
403,6.63488
404,11.007672
405,8.743714
406,9.716969
407,10.041457
408,3.6883466
409,5.948638
410,5.9157367
411,7.767691
412,7.591273
413,6.2415285
414,4.0633454
415,5.6150093
416,7.8128176
417,5.0073986
418,6.5339117
419,6.7401114
420,7.4427395
421,8.776342
422,4.4341364
423,4.2402544
424,11.391939
425,7.356398
426,9.828445
427,8.663285
428,4.327367
429,12.531094
430,9.5985155
431,6.8466077
432,7.715107
433,6.6464105
434,9.774341
435,7.600406
436,4.226678
437,6.8229294
438,11.177271
439,5.3687716
440,7.026754
441,11.087843
442,5.8045673
443,8.189998
444,7.2876167
445,8.044426
446,8.45879
447,9.238933
448,6.561522
449,6.088994
450,5.891327
451,7.710883
452,7.299325
453,7.960816
454,8.999072
455,7.0866284
456,8.26038
457,7.224473
458,8.098697
459,7.266446
460,4.310155
461,4.8423424
462,4.4551344
463,12.379528
464,5.4370875
465,6.360359
466,8.797641
467,6.9653473
468,6.1727567
469,7.7626147
470,9.644792
471,9.968346
472,5.33957
473,7.576284
474,12.457209
475,9.929162
476,3.653779
477,6.2776136
478,7.688034
479,5.189966
480,5.6325917
481,5.68237
482,6.169637
483,4.004059
484,9.922304
485,7.6201797
486,4.9746027
487,11.074206
488,7.2775273
489,8.869146
490,9.470696
491,11.8903885
492,9.893312
493,4.3003936
494,8.050525
495,15.08335
496,3.9235795
497,6.7508707
498,10.260218
499,8.9131775
500,9.573032
501,7.408935
502,5.2181892
503,5.775156
504,9.029069
505,5.1673155
506,8.324777
507,7.169838
508,6.1170807
509,5.2355323
510,7.009271
511,4.265539
512,5.1825924
513,3.0300837
514,7.9602222
515,7.685345
516,5.5507374
517,6.1779222
518,5.1955957
519,8.645611
520,7.973662
521,5.7751656
522,8.73201
523,11.3504095
524,7.6360946
525,12.5618305
526,12.983807
527,6.051337
528,8.081829
529,7.2743926
530,5.704222
531,6.8207726
532,8.702926
533,8.233938
534,8.666818
535,4.3407674
536,7.416767
537,5.136755
538,10.78777
539,10.151721
540,9.2419815
541,8.029868
542,7.618087
543,4.8795795
544,4.0299263
545,9.549228
546,3.7272782
547,7.892608
548,4.8072557
549,6.495928
550,7.35929
551,7.898693
552,4.062233
553,9.561563
