,RecoDatapT_predicted
0,21.624077
1,24.745594
2,24.022621
3,28.587053
4,28.950857
5,20.722229
6,22.510239
7,24.000437
8,21.965
9,30.103842
10,23.9278
11,28.216564
12,20.45239
13,35.63681
14,29.009813
15,25.292032
16,22.9473
17,21.343222
18,21.440966
19,23.634058
20,27.544744
21,22.18116
22,26.303816
23,20.468908
24,28.584455
25,37.077423
26,27.98248
27,27.777218
28,24.268545
29,20.597965
30,23.017988
31,21.530903
32,42.523155
33,22.549374
34,35.038692
35,21.030855
36,29.298447
37,25.02541
38,19.769184
39,25.652437
40,38.837856
41,21.727596
42,19.904968
43,22.601671
44,24.417547
45,24.026632
46,33.256298
47,31.422852
48,27.593676
49,20.31444
50,25.251196
51,25.626345
52,32.097916
53,20.927998
54,21.753838
55,20.913128
56,24.736692
57,23.37997
58,23.390593
59,33.42521
60,45.133842
61,20.896755
62,22.22926
63,31.132734
64,23.963966
65,25.018171
66,25.254768
67,29.596245
68,26.457363
69,23.86312
70,20.427189
71,23.37397
72,23.393246
73,31.261393
74,33.134438
75,25.113445
76,32.862206
77,25.343151
78,37.740135
79,20.662088
80,22.014214
81,23.958954
82,24.128557
83,24.748901
84,20.710209
85,22.37754
86,26.15653
87,21.781322
88,22.583467
89,21.848839
90,45.46861
91,20.786589
92,23.253153
93,31.204012
94,23.048052
95,35.540195
96,23.41046
97,22.116085
98,23.494118
99,22.540104
100,19.740786
101,21.97927
102,24.477024
103,27.323877
104,33.857315
105,21.180147
106,21.602442
107,21.231937
108,32.444633
109,25.070389
110,22.34816
111,32.817825
112,24.717197
113,21.305649
114,22.209858
115,25.131449
116,23.231905
117,27.820692
118,25.171759
119,26.823336
120,24.099676
121,62.783386
122,24.75128
123,21.564526
124,21.800709
125,20.197647
126,26.823774
127,33.746605
128,25.648335
129,36.70381
130,20.525278
131,23.899069
132,27.080374
133,21.0151
134,34.682907
135,25.410637
136,32.89188
137,28.738699
138,20.280197
139,52.561295
140,33.35649
141,31.486284
142,20.347532
143,31.75631
144,28.83391
145,23.420052
146,24.62263
147,24.324402
148,58.065117
149,26.909155
150,23.49882
151,24.626596
152,34.12677
153,38.906353
154,40.349476
155,21.373848
156,30.304598
157,22.951513
158,54.05333
159,26.718014
160,21.850927
161,23.98716
162,21.610262
163,34.834625
164,31.392443
165,23.19301
166,21.417181
167,25.939053
168,23.828268
169,22.303988
170,26.101002
171,31.469175
172,27.806541
173,23.544455
174,22.353287
175,28.862085
176,27.001732
177,24.73137
178,30.86027
179,23.066856
180,26.741468
181,41.071766
182,35.651817
183,27.728487
184,22.721516
185,24.58242
186,23.981758
187,34.165108
188,23.618961
189,60.22358
190,24.620035
191,20.967514
192,25.716087
193,27.15143
194,35.40219
195,22.768656
196,23.908436
197,24.754425
198,20.339666
199,24.949791
200,21.620827
201,36.764175
202,21.601377
203,28.22664
204,20.90189
205,37.617336
206,24.65382
207,23.61005
208,26.16017
209,28.535532
210,22.206749
211,25.217272
212,25.295475
213,26.683472
214,21.84743
215,24.078445
216,25.517874
217,27.086315
218,35.55294
219,27.442646
220,25.866072
221,23.569012
222,21.31873
223,23.342703
224,23.763561
225,21.111338
226,29.916254
227,29.539959
228,29.15594
229,37.490105
230,32.56859
231,48.971252
232,20.918697
233,27.471817
234,20.29013
235,22.86541
236,29.863104
237,32.13636
238,21.66531
239,28.854284
240,28.659067
241,19.769848
242,23.95856
243,24.711046
244,32.119812
245,27.285246
246,23.808266
247,39.39603
248,31.7549
249,23.78421
250,25.59784
251,33.72269
252,24.069702
253,24.46145
254,27.856466
255,31.319126
256,21.249783
257,26.629644
258,20.79623
259,28.692133
260,24.27914
261,69.28685
262,35.41357
263,25.721436
264,26.040646
265,22.476866
266,24.452618
267,22.260508
268,23.152369
269,23.822859
270,33.00386
271,21.825169
272,33.007797
273,23.147
274,23.607355
275,24.952288
276,22.700623
277,29.41706
278,22.256603
279,40.406254
280,28.007793
281,29.038713
282,30.853502
283,22.4946
284,27.05961
285,22.819262
286,29.495678
287,38.059464
288,22.314781
289,20.951672
290,20.541637
291,27.096264
292,39.144497
293,24.472542
294,22.930798
295,25.393902
296,26.66911
297,24.727003
298,25.62316
299,23.48586
300,25.105839
301,21.729881
302,19.634132
303,33.569332
304,48.88379
305,27.355003
306,30.129377
307,40.413322
308,23.7127
309,37.87542
310,25.460485
311,21.512978
312,27.040043
313,24.760317
314,22.308393
315,27.622526
316,24.83601
317,31.060112
318,26.903448
319,26.223532
320,26.344852
321,43.88798
322,22.308178
323,25.817188
324,58.32157
325,35.76746
326,27.661438
327,28.365309
328,43.532265
329,31.42417
330,23.116484
331,29.900887
332,26.178894
333,25.611902
334,24.22294
335,28.010138
336,21.391865
337,25.977676
338,25.553635
339,36.39285
340,23.428701
341,26.076189
342,20.602024
343,23.176413
344,31.970257
345,24.682644
346,34.876286
347,22.30241
348,23.694462
349,23.864847
350,36.39155
351,34.996597
352,25.75223
353,22.800598
354,27.477896
355,27.148298
356,31.144325
357,24.14437
358,20.092667
359,40.20178
360,24.403336
361,23.575977
362,28.230211
363,20.812538
364,26.328045
365,22.250784
366,28.894836
367,27.97347
368,21.945118
369,35.502934
370,23.680159
371,29.183483
372,29.669077
373,32.087082
374,29.311954
375,29.273613
376,30.83072
377,19.87693
378,27.59898
379,28.087034
380,24.188261
381,20.539024
382,32.148453
383,34.572163
384,43.365948
385,27.816412
386,20.557507
387,23.048782
388,30.57413
389,26.9514
390,22.64822
391,43.316467
392,29.023281
393,34.560154
394,24.620285
395,24.625391
396,33.495914
397,25.061083
398,24.562752
399,21.577774
400,33.00684
401,21.291191
402,25.20517
403,23.489017
404,36.126667
405,23.453705
406,44.488876
407,21.568214
408,28.14296
409,21.215502
410,31.127035
411,22.758377
412,21.913364
413,24.500956
414,20.041752
415,21.098509
416,23.139141
417,40.246933
418,46.350418
419,25.26194
420,20.997595
