,RecoDataphi_predicted
0,3.0747132
1,-2.694826
2,0.11077536
3,2.3035061
4,-1.6179526
5,-2.9004488
6,1.273148
7,2.0494196
8,-1.7303665
9,-1.6121978
10,-2.7854636
11,0.45603207
12,0.33531493
13,1.9592829
14,1.182642
15,1.8362988
16,0.13447225
17,-3.061049
18,-1.0433441
19,-0.46642885
20,1.4681263
21,3.1966894
22,2.9805639
23,-2.0273585
24,1.6685455
25,-0.4577289
26,0.33542714
27,2.589327
28,-2.2425783
29,1.1317916
30,2.4493392
31,1.0117639
32,-2.6062026
33,-1.0328697
34,1.2985461
35,-0.8271188
36,-0.31382766
37,-1.7985772
38,2.8034246
39,-2.194663
40,2.6108243
41,0.5521374
42,0.73929715
43,-0.6895481
44,-1.8051132
45,1.449491
46,1.3198907
47,0.30840713
48,2.7985067
49,-1.1373891
50,-0.6754978
51,0.5096964
52,-1.65104
53,3.0712657
54,0.031579122
55,-1.9827468
56,1.2157078
57,2.71999
58,0.12878145
59,-0.68401223
60,-2.3029585
61,-3.0875595
62,1.8104663
63,2.2595248
64,-0.18736191
65,-0.19147499
66,-1.5020516
67,-1.7188777
68,-1.284968
69,0.13845344
70,-1.5527071
71,-2.3911417
72,0.46384665
73,2.717387
74,2.2574906
75,2.9616532
76,2.6361709
77,-0.12389701
78,-1.122689
79,-1.6922404
80,-0.00394909
81,-3.1004355
82,-2.0850806
83,-0.4139393
84,0.28408208
85,0.733075
86,2.1217782
87,1.9009304
88,0.43399212
89,-2.1359677
90,3.188606
91,2.2290637
92,-0.3371094
93,0.23307621
94,2.0272174
95,0.6258378
96,1.2185904
97,-2.3367114
98,2.5448914
99,-0.5450259
100,-0.9263297
101,-1.0674148
102,0.8691314
103,0.80415624
104,0.64585924
105,-1.1018146
106,-0.29171768
107,0.81455487
108,1.4557521
109,-1.812055
110,-3.142959
111,1.0807172
112,-0.21288742
113,0.86391145
114,-1.1611886
115,1.3290249
116,2.9501853
117,-1.0482495
118,-0.6850998
119,0.79651254
120,-3.111576
121,-1.6173414
122,-0.27548832
123,1.0015004
124,-2.1810055
125,1.5349498
126,-1.7380018
127,-0.5717688
128,-2.5883145
129,0.20993175
130,1.4651741
131,1.1438385
132,-1.4633455
133,2.1883726
134,0.62868935
135,2.5895414
136,-2.3044503
137,1.3251472
138,1.2075248
139,2.6530511
140,-2.9165418
141,2.753543
142,-1.9971486
143,1.8696879
144,0.117155015
145,2.3298738
146,-2.4671516
147,-1.8293917
148,-1.1629936
149,1.1422766
150,-1.0204809
151,0.6114529
152,2.2779694
153,-2.6482577
154,-1.8433298
155,2.5960906
156,0.3919632
157,-0.7985762
158,-1.438882
159,2.4402013
160,2.5703218
161,0.31718493
162,-0.46086624
163,1.6304365
164,-0.35235482
165,-0.9276483
166,2.1344502
167,-0.31024507
168,-0.30701455
169,-0.22096862
170,0.31694555
171,1.8715276
172,-1.6596879
173,1.7022792
174,-2.1464415
175,1.0934739
176,0.10600731
177,-2.826065
178,-1.2429053
179,-0.5367851
180,0.8454503
181,0.29138798
182,1.1963887
183,1.8601575
184,0.91856474
185,0.6226886
186,-0.29819888
187,-1.5938369
188,-1.547128
189,-2.3218489
190,-1.6593319
191,-2.1026645
192,-0.5367419
193,0.97817475
194,-0.06325906
195,1.5511132
196,0.90583324
197,2.061601
198,1.3072493
199,1.3855649
200,-3.0115995
201,-0.55903506
202,2.810049
203,-1.7225467
204,1.2374362
205,-1.1178577
206,0.46966785
207,0.32522628
208,-1.6502628
209,1.5072978
210,-1.4009175
211,-1.9511135
212,0.5290204
213,1.4846122
214,2.0658321
215,3.1467316
216,-0.3845525
217,2.1071267
218,-0.08280427
219,-1.4828917
220,-1.0057812
221,1.5712224
222,0.65703374
223,-0.050908264
224,1.5487198
225,-0.9021331
226,-2.550522
227,2.420395
228,1.3428577
229,1.8033992
230,-2.7348235
231,0.3365472
232,-0.59935606
233,-1.1834729
234,-2.7562492
235,0.32190534
