,RecoDatapT_predicted
0,22.128952
1,25.404654
2,29.596598
3,21.536783
4,42.28265
5,26.927141
6,21.338478
7,24.422989
8,35.49975
9,23.221521
10,28.279411
11,32.49562
12,31.734047
13,29.10511
14,23.022501
15,25.807014
16,30.22744
17,25.844175
18,25.910383
19,20.456867
20,45.19975
21,25.928951
22,22.72501
23,22.662863
24,21.91142
25,22.019667
26,22.220806
27,24.382425
28,27.918066
29,21.777767
30,28.984928
31,21.228554
32,25.244694
33,30.003239
34,53.37907
35,21.48006
36,36.04965
37,27.221601
38,30.44531
39,35.18998
40,63.57987
41,29.537195
42,27.956543
43,23.790733
44,20.721096
45,22.286512
46,28.7595
47,21.63012
48,22.325825
49,32.358585
50,26.495821
51,20.906437
52,49.920044
53,22.075565
54,26.76543
55,24.403461
56,20.120829
57,22.42463
58,20.984306
59,29.596598
60,30.925802
61,22.549625
62,22.432594
63,25.702877
64,24.25918
65,36.183537
66,22.32574
67,21.850962
68,25.254642
69,22.657637
70,23.719477
71,21.881952
72,21.365383
73,25.781727
74,32.441437
75,24.563276
76,23.759418
77,34.947937
78,50.662834
79,22.424599
80,24.76546
81,27.821674
82,55.401073
83,26.352943
84,20.691822
85,23.609535
86,21.738155
87,44.741486
88,29.579266
89,23.61546
90,20.43282
91,23.352295
92,21.276602
93,32.58283
94,24.427511
95,20.425072
96,26.010275
97,27.221218
98,22.506313
99,40.12004
100,29.351347
101,33.6429
102,25.583126
103,57.916626
104,26.763226
105,32.098534
106,23.232635
107,24.992062
108,31.66747
109,20.287941
110,23.99016
111,22.715488
112,22.743435
113,22.879433
114,40.51478
115,25.592447
116,22.67489
117,26.034063
118,24.379934
119,26.764427
120,22.909594
121,21.33324
122,20.619514
123,23.210054
124,31.71518
125,24.752712
126,20.335144
127,45.119186
128,28.829418
129,40.03043
130,23.959633
131,31.30628
132,23.24245
133,21.800388
134,22.039553
135,36.650696
136,26.5018
137,21.601353
138,22.893764
139,23.188469
140,25.994387
141,30.142818
142,31.641123
143,27.691488
144,28.417416
145,36.654438
146,40.20449
147,21.878891
148,20.323212
149,20.433384
150,22.19599
151,25.867739
152,24.811394
153,27.98896
154,26.115509
155,23.201487
156,21.610647
157,23.308563
158,31.96817
159,27.131489
160,27.547876
161,22.15092
162,20.68361
163,29.234047
164,26.62787
165,24.611794
166,24.296654
167,24.417324
168,21.143501
169,24.865248
170,28.665918
171,29.95219
172,26.503868
173,62.160824
174,32.317974
175,23.238873
176,28.503963
177,33.58796
178,22.069996
179,37.219078
180,21.711136
181,22.629112
182,27.979101
183,22.864105
184,23.076147
185,38.342674
186,26.068253
187,27.270496
188,21.588757
189,29.055845
190,24.671083
191,25.507208
192,28.341387
193,25.071404
194,21.33846
195,23.423159
196,36.86742
197,29.58084
198,31.258188
199,25.053001
200,38.252914
201,23.43456
202,25.061686
203,20.509974
204,25.953392
205,33.262234
206,22.78855
207,20.044884
208,24.659418
209,40.542324
210,21.725498
211,21.535034
212,23.332987
213,21.014984
214,40.636356
215,23.975681
216,21.955011
217,32.1061
218,25.612648
219,27.425598
220,23.878933
221,24.157269
222,26.051245
223,26.5784
224,27.806372
225,21.284866
226,24.226091
227,20.019648
228,23.501383
229,30.699923
230,21.71238
231,31.925974
232,23.959785
233,25.850449
234,22.457058
235,20.10162
236,25.04316
237,21.328457
238,42.92784
239,23.731068
240,24.236965
241,25.413883
242,23.961723
243,22.75702
244,40.31014
245,23.34279
246,30.436329
247,25.77198
248,25.935165
249,21.765463
250,29.457287
251,25.317383
252,28.67215
253,28.44235
254,36.864655
255,28.619268
256,23.194574
257,21.135061
258,25.863447
259,38.76271
260,38.359634
261,22.588974
262,20.770546
263,20.531971
264,23.576435
265,27.711298
266,20.474474
267,23.89515
268,21.373295
269,34.369133
270,21.503801
271,27.33326
272,23.757729
273,23.776108
274,20.839361
275,27.79222
276,22.749353
277,32.864365
278,34.118446
279,21.791376
280,25.741262
281,28.096004
282,35.543728
283,29.266615
284,38.040733
285,28.994333
286,25.948391
287,23.44877
288,29.430573
289,23.581114
290,24.359932
291,21.498093
292,28.253736
293,24.686836
294,22.67908
295,21.890347
296,21.431398
297,27.102837
298,23.572254
299,23.34053
300,28.733845
301,56.394344
302,22.302614
303,32.081566
304,24.808369
305,21.184645
306,40.39246
307,20.88097
308,39.66332
309,26.1985
310,33.597725
311,30.130655
312,23.853306
313,23.096804
314,20.41774
315,36.194458
316,27.955473
317,28.050053
318,21.713755
319,38.70728
320,29.251049
321,30.404472
322,20.30494
323,36.20427
324,34.92514
325,28.417925
326,21.77769
327,27.625235
328,33.316513
329,28.372522
330,22.10614
331,36.2928
332,35.017494
333,23.195963
334,21.610054
335,26.191675
336,22.896545
337,23.247183
338,35.649242
339,23.647247
340,21.013832
341,33.335716
342,29.572124
343,32.1743
344,28.549294
345,27.812677
346,21.43283
347,50.178493
348,25.20969
349,27.31535
350,25.579432
351,78.23515
352,27.727676
353,30.446217
354,21.61557
355,25.994186
356,25.578772
357,25.750797
358,22.557255
359,30.098612
360,32.82859
361,33.83643
362,25.875244
363,23.599878
364,20.08802
365,19.983807
366,29.877157
367,24.689081
368,25.59677
369,31.841278
370,35.28698
371,28.666628
372,28.298695
373,22.009304
374,32.383385
375,29.069702
376,21.641167
377,48.36441
378,26.503817
379,27.885256
380,24.98078
381,41.790173
382,27.065424
383,20.090523
384,54.009552
385,21.677095
386,21.229618
387,22.595312
388,21.036434
389,25.588428
390,27.484005
391,20.340496
